sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Akan,ethnicity_Ewe,ethnicity_Ga/Dangme,ethnicity_Grusi,ethnicity_Guan,ethnicity_Gurma,ethnicity_Mande,ethnicity_Mole-Dagbani,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
1.258696,Ewe,richest,151053,3,"western, urban",0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0011819579470108811,0.0,0.0
1.258696,Akan,richest,147988,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Ewe,richest,170043,3,"western, urban",0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0011819579470108811,0.0,0.0
1.258696,Akan,richest,208459,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richest,208459,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richest,160942,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richest,160942,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richest,160942,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richest,207721,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Grusi,richer,83561,3,"western, urban",0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,5.034784,0.0,0.0,0.0034472209918743496,0.0,0.0,0.0,0.0,0.0
1.258696,Akan,richest,157473,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richer,99412,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.034784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.059294035506155e-05
1.258696,Akan,richest,146720,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richest,146720,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,poorer,-68039,3,"western, urban",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.517392,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000283343650355742
1.258696,Akan,richest,180850,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richest,180850,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.301089,Akan,richest,119129,4,"western, rural",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.505445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002714043228939243
1.301089,Akan,richest,119129,4,"western, rural",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.505445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002714043228939243
1.301089,Akan,middle,32742,4,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.9032669999999996,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010478968651845851
1.301089,Akan,poorer,-71055,4,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.602178,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0002928866912246499
1.301089,Mole-Dagbani,poorer,-22890,4,"western, rural",0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,2.602178,-0.0,-0.00023154347672051258,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.301089,Akan,middle,37938,4,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.9032669999999996,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010478968651845851
1.301089,Akan,richer,103644,4,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.204356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.330731818773291e-05
