sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Bosnian,ethnicity_Roma,ethnicity_Serb,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
1.8900173172846575,Serb,poorest,-0.6415177287237415,18.0,2.0,0,0,1,1,0,0,0,0,1.0,1.8900173172846575,-0.0,-0.0,-0.0013827537428691143
1.8900173172846575,Serb,poorest,-0.6415177287237415,18.0,2.0,0,0,1,1,0,0,0,0,1.0,1.8900173172846575,-0.0,-0.0,-0.0013827537428691143
0.18169718189103756,Serb,poorest,-0.37944108413319927,18.0,2.0,0,0,1,1,0,0,0,0,1.0,0.18169718189103756,-0.0,-0.0,-0.0001329312996399189
0.18169718189103756,Serb,middle,0.3751806587564068,18.0,2.0,0,0,1,0,0,1,0,0,3.0,0.5450915456731127,0.0,0.0,-2.1054796751237176e-05
1.8900173172846575,Serb,middle,0.21415910479613687,18.0,2.0,0,0,1,0,0,1,0,0,3.0,5.6700519518539725,0.0,0.0,-0.00021901237023924308
0.3736642044976555,Serb,richest,0.9100261859873215,19.0,2.0,0,0,1,0,0,0,0,1,5.0,1.8683210224882776,0.0,0.0,0.00018677681305657076
0.3736642044976555,Serb,richer,0.5014356461055904,19.0,2.0,0,0,1,0,0,0,1,0,4.0,1.494656817990622,0.0,0.0,7.173858291233933e-05
0.3736642044976555,Serb,poorest,-0.40650632872550047,19.0,2.0,0,0,1,1,0,0,0,0,1.0,0.3736642044976555,-0.0,-0.0,-0.00027337610752035496
0.3736642044976555,Serb,middle,0.20981502881998315,19.0,2.0,0,0,1,0,0,1,0,0,3.0,1.1209926134929666,0.0,0.0,-4.3299647231892105e-05
2.3700376221517576,Serb,middle,0.2902073966659239,19.0,2.0,0,0,1,0,0,1,0,0,3.0,7.110112866455273,0.0,0.0,-0.0002746364027655408
0.3736642044976555,Serb,richer,0.6034499283840942,19.0,2.0,0,0,1,0,0,0,1,0,4.0,1.494656817990622,0.0,0.0,7.173858291233933e-05
0.3736642044976555,Serb,richer,0.47283852720130226,19.0,2.0,0,0,1,0,0,0,1,0,4.0,1.494656817990622,0.0,0.0,7.173858291233933e-05
0.3736642044976555,Serb,middle,0.2557092248297558,19.0,2.0,0,0,1,0,0,1,0,0,3.0,1.1209926134929666,0.0,0.0,-4.3299647231892105e-05
0.3736642044976555,Serb,middle,0.22668270299225868,19.0,2.0,0,0,1,0,0,1,0,0,3.0,1.1209926134929666,0.0,0.0,-4.3299647231892105e-05
0.3736642044976555,Serb,poorer,-0.13468587863518144,19.0,2.0,0,0,1,0,1,0,0,0,2.0,0.747328408995311,0.0,-0.0,-0.00015833787737612353
0.3736642044976555,Serb,poorer,0.0991180201130446,19.0,2.0,0,0,1,0,1,0,0,0,2.0,0.747328408995311,0.0,-0.0,-0.00015833787737612353
0.3437710681378431,Serb,poorer,0.0225812288847268,20.0,2.0,0,0,1,0,1,0,0,0,2.0,0.6875421362756862,0.0,-0.0,-0.00014567084718603365
2.4183002064573937,Serb,middle,0.2514459054885715,20.0,2.0,0,0,1,0,0,1,0,0,3.0,7.254900619372181,0.0,0.0,-0.00028022899860367543
0.3437710681378431,Serb,poorer,0.12521061121435584,20.0,2.0,0,0,1,0,1,0,0,0,2.0,0.6875421362756862,0.0,-0.0,-0.00014567084718603365
0.3437710681378431,Serb,richest,0.8453448157362438,20.0,2.0,0,0,1,0,0,0,0,1,5.0,1.7188553406892155,0.0,0.0,0.0001718346680120451
0.3437710681378431,Serb,richest,0.6848073315224927,20.0,2.0,0,0,1,0,0,0,0,1,5.0,1.7188553406892155,0.0,0.0,0.0001718346680120451
0.3437710681378431,Serb,richer,0.4991531266343221,20.0,2.0,0,0,1,0,0,0,1,0,4.0,1.3750842725513723,0.0,0.0,6.599949627935217e-05
0.3437710681378431,Serb,richest,0.838025443057304,20.0,2.0,0,0,1,0,0,0,0,1,5.0,1.7188553406892155,0.0,0.0,0.0001718346680120451
0.3437710681378431,Serb,richer,0.4649379414991408,20.0,2.0,0,0,1,0,0,0,1,0,4.0,1.3750842725513723,0.0,0.0,6.599949627935217e-05
0.3437710681378431,Serb,poorer,-0.22564036538899612,20.0,2.0,0,0,1,0,1,0,0,0,2.0,0.6875421362756862,0.0,-0.0,-0.00014567084718603365
1.5272269282682274,Serb,poorest,-0.5521321789411937,21.0,2.0,0,0,1,1,0,0,0,0,1.0,1.5272269282682274,-0.0,-0.0,-0.0011173330169838517
1.5272269282682274,Serb,poorest,-0.5521321789411937,21.0,2.0,0,0,1,1,0,0,0,0,1.0,1.5272269282682274,-0.0,-0.0,-0.0011173330169838517
0.26335883667352633,Serb,poorer,-0.08018208578833169,21.0,2.0,0,0,1,0,1,0,0,0,2.0,0.5267176733470527,0.0,-0.0,-0.00011159666536212996
1.5272269282682274,Serb,middle,0.38659105627045665,21.0,2.0,0,0,1,0,0,1,0,0,3.0,4.581680784804682,0.0,0.0,-0.00017697276442618241
1.5272269282682274,Serb,richer,0.5460176756951203,21.0,2.0,0,0,1,0,0,0,1,0,4.0,6.1089077130729095,0.0,0.0,0.00029320736185265225
0.26335883667352633,Serb,richest,0.8602421636133053,21.0,2.0,0,0,1,0,0,0,0,1,5.0,1.3167941833676315,0.0,0.0,0.0001316404504688803
0.26335883667352633,Serb,richest,0.8602421636133053,21.0,2.0,0,0,1,0,0,0,0,1,5.0,1.3167941833676315,0.0,0.0,0.0001316404504688803
0.26335883667352633,Serb,richest,0.8617098508923877,21.0,2.0,0,0,1,0,0,0,0,1,5.0,1.3167941833676315,0.0,0.0,0.0001316404504688803
1.5272269282682274,Serb,poorer,-0.03649044859360745,21.0,2.0,0,0,1,0,1,0,0,0,2.0,3.0544538565364547,0.0,-0.0,-0.000647152890705017
1.5272269282682274,Serb,poorer,-0.03649044859360745,21.0,2.0,0,0,1,0,1,0,0,0,2.0,3.0544538565364547,0.0,-0.0,-0.000647152890705017
0.3517547241737478,Serb,richest,0.7890013366870852,22.0,1.0,0,0,1,0,0,0,0,1,5.0,1.758773620868739,0.0,0.0,0.0001758253147290107
0.3517547241737478,Serb,poorer,0.05736669841933151,22.0,1.0,0,0,1,0,1,0,0,0,2.0,0.7035094483474956,0.0,-0.0,-0.0001490538716641896
0.3517547241737478,Serb,richer,0.6314682910658634,22.0,1.0,0,0,1,0,0,0,1,0,4.0,1.4070188966949913,0.0,0.0,6.753225259794395e-05
0.3517547241737478,Serb,richest,0.6986148619578052,22.0,1.0,0,0,1,0,0,0,0,1,5.0,1.758773620868739,0.0,0.0,0.0001758253147290107
0.3517547241737478,Serb,richest,0.6986148619578052,22.0,1.0,0,0,1,0,0,0,0,1,5.0,1.758773620868739,0.0,0.0,0.0001758253147290107
0.3517547241737478,Serb,richest,0.6859348463205606,22.0,1.0,0,0,1,0,0,0,0,1,5.0,1.758773620868739,0.0,0.0,0.0001758253147290107
2.0533977356168935,Serb,richest,0.946138802817629,22.0,1.0,0,0,1,0,0,0,0,1,5.0,10.266988678084468,0.0,0.0,0.0010263950369870352
