sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Armenian,ethnicity_Azeri,ethnicity_Georgian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
2.7437047872508753,Georgian,richest,1.3500527055844538,137.0,110.0,0,0,1,0,0,0,0,1,5.0,13.718523936254376,0.0,0.0,0.0007868644812426115
2.7437047872508753,Georgian,richest,1.3250333911826093,137.0,110.0,0,0,1,0,0,0,0,1,5.0,13.718523936254376,0.0,0.0,0.0007868644812426115
2.7437047872508753,Georgian,middle,0.7472133158080151,137.0,110.0,0,0,1,0,0,1,0,0,3.0,8.231114361752626,0.0,-0.0,-0.00013438206414422013
3.1551858263840353,Georgian,richer,1.2378312393573838,138.0,110.0,0,0,1,0,0,0,1,0,4.0,12.620743305536141,0.0,0.0,0.0003751685101035252
3.1551858263840353,Georgian,richest,1.3312946394652767,138.0,110.0,0,0,1,0,0,0,0,1,5.0,15.775929131920176,0.0,0.0,0.0009048727363228179
3.1551858263840353,Georgian,richer,1.1868770662064754,138.0,110.0,0,0,1,0,0,0,1,0,4.0,12.620743305536141,0.0,0.0,0.0003751685101035252
3.1551858263840353,Georgian,richest,1.2999391363524209,138.0,110.0,0,0,1,0,0,0,0,1,5.0,15.775929131920176,0.0,0.0,0.0009048727363228179
3.1551858263840353,Georgian,middle,0.6905943233131296,138.0,110.0,0,0,1,0,0,1,0,0,3.0,9.465557479152107,0.0,-0.0,-0.00015453571611576754
3.1551858263840353,Georgian,richest,1.4078023008264307,138.0,110.0,0,0,1,0,0,0,0,1,5.0,15.775929131920176,0.0,0.0,0.0009048727363228179
3.1551858263840353,Georgian,richer,1.2345890623161655,138.0,110.0,0,0,1,0,0,0,1,0,4.0,12.620743305536141,0.0,0.0,0.0003751685101035252
3.1551858263840353,Georgian,richer,1.1289317440231073,138.0,110.0,0,0,1,0,0,0,1,0,4.0,12.620743305536141,0.0,0.0,0.0003751685101035252
3.1551858263840353,Georgian,richer,1.1289317440231073,138.0,110.0,0,0,1,0,0,0,1,0,4.0,12.620743305536141,0.0,0.0,0.0003751685101035252
3.1551858263840353,Georgian,richest,1.3203569740092755,138.0,110.0,0,0,1,0,0,0,0,1,5.0,15.775929131920176,0.0,0.0,0.0009048727363228179
3.1551858263840353,Georgian,richest,1.3234745854581649,138.0,110.0,0,0,1,0,0,0,0,1,5.0,15.775929131920176,0.0,0.0,0.0009048727363228179
3.1551858263840353,Georgian,richest,1.3297358337408323,138.0,110.0,0,0,1,0,0,0,0,1,5.0,15.775929131920176,0.0,0.0,0.0009048727363228179
0.7474787651018594,Georgian,richest,1.4062434951019862,139.0,111.0,0,0,1,0,0,0,0,1,5.0,3.737393825509297,0.0,0.0,0.00021436872271199002
0.7474787651018594,Georgian,richer,1.2200128685447598,139.0,111.0,0,0,1,0,0,0,1,0,4.0,2.9899150604074376,0.0,0.0,8.8879232497907e-05
0.7474787651018594,Georgian,richer,1.2200128685447598,139.0,111.0,0,0,1,0,0,0,1,0,4.0,2.9899150604074376,0.0,0.0,8.8879232497907e-05
2.64037045110766,Georgian,richest,1.3270878579797356,140.0,110.0,0,0,1,0,0,0,0,1,5.0,13.2018522555383,0.0,0.0,0.0007572293254555519
2.64037045110766,Georgian,richer,1.1946428745107878,140.0,110.0,0,0,1,0,0,0,1,0,4.0,10.56148180443064,0.0,0.0,0.0003139542019934467
