sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Albanian,ethnicity_Macedonian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1
0.14735661702916272,Macedonian,poorer,0.005911591960868712,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.14735661702916272,Macedonian,poorer,0.005911591960868712,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.14735661702916272,Macedonian,poorer,0.005911591960868712,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.794362624495327,Macedonian,poorest,-0.42904518132683,59.0,5.0,0,1,1,0,0,0,0,1.0,0.794362624495327,-0.0,-0.00019762113997969386
0.794362624495327,Macedonian,poorest,-0.42904518132683,59.0,5.0,0,1,1,0,0,0,0,1.0,0.794362624495327,-0.0,-0.00019762113997969386
0.794362624495327,Macedonian,poorer,0.10717446669322633,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,0.10717446669322633,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,0.06407735817108134,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,0.06407735817108134,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,0.06407735817108134,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,0.06407735817108134,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,0.06407735817108134,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.794362624495327,Macedonian,poorer,0.06407735817108134,59.0,5.0,0,1,0,1,0,0,0,2.0,1.588725248990654,-0.0,-0.000112081454794008
0.14735661702916272,Macedonian,poorer,0.09651535485189733,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.14735661702916272,Macedonian,poorer,0.09651535485189733,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
0.14735661702916272,Macedonian,poorer,0.09651535485189733,59.0,5.0,0,1,0,1,0,0,0,2.0,0.29471323405832545,-0.0,-2.079144146622574e-05
