sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Chinese-Tibetan,ethnicity_Hmong-Mien,ethnicity_Lao-Tai,ethnicity_Mon-Khmer,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
1.8103944399523832,Lao-Tai,richest,1.3535792658539925,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.391796421716571,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.5680074722268653,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.5511177979436641,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.6617014843475033,Lao-Tai,richest,1.6078442241881263,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.6750894373606084,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7618576422334606,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7618576422334606,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7636708211446193,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7636708211446193,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
1.6617014843475033,Lao-Tai,richest,1.7552236654734537,4.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.308507421737517,0.0,0.0,0.0,0.00014572339753493973
