sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Kyrgyz,ethnicity_Russian,ethnicity_Uzbek,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
0.313897237724529,Kyrgyz,middle,-0.4184960007029065,113.0,8.0,1,0,0,0,0,1,0,0,3.0,0.9416917131735869,0.0,-7.361780408329591e-06,-0.0
0.313897237724529,Kyrgyz,middle,-0.24996339647872057,113.0,8.0,1,0,0,0,0,1,0,0,3.0,0.9416917131735869,0.0,-7.361780408329591e-06,-0.0
0.313897237724529,Kyrgyz,poorest,-1.2051387188353468,113.0,8.0,1,0,0,1,0,0,0,0,1.0,0.313897237724529,-0.0,-0.00015318967793243184,-0.0
0.313897237724529,Kyrgyz,poorest,-1.3080951382462782,113.0,8.0,1,0,0,1,0,0,0,0,1.0,0.313897237724529,-0.0,-0.00015318967793243184,-0.0
0.313897237724529,Kyrgyz,middle,-0.10643810991809333,113.0,8.0,1,0,0,0,0,1,0,0,3.0,0.9416917131735869,0.0,-7.361780408329591e-06,-0.0
0.313897237724529,Kyrgyz,richer,0.032224957031824264,113.0,8.0,1,0,0,0,0,0,1,0,4.0,1.255588950898116,0.0,6.555216835372153e-05,-0.0
0.313897237724529,Kyrgyz,poorer,-0.7961196874732176,113.0,8.0,1,0,0,0,1,0,0,0,2.0,0.627794475449058,-0.0,-8.027572917038072e-05,-0.0
0.313897237724529,Kyrgyz,poorer,-0.554578562954352,113.0,8.0,1,0,0,0,1,0,0,0,2.0,0.627794475449058,-0.0,-8.027572917038072e-05,-0.0
0.313897237724529,Kyrgyz,richer,0.08493182614542166,113.0,8.0,1,0,0,0,0,0,1,0,4.0,1.255588950898116,0.0,6.555216835372153e-05,-0.0
0.313897237724529,Kyrgyz,richer,-0.000793163292274246,113.0,8.0,1,0,0,0,0,0,1,0,4.0,1.255588950898116,0.0,6.555216835372153e-05,-0.0
0.3368653282897385,Kyrgyz,middle,-0.47631132972354423,114.0,8.0,1,0,0,0,0,1,0,0,3.0,1.0105959848692154,0.0,-7.900447267475661e-06,-0.0
0.3368653282897385,Kyrgyz,middle,-0.47631132972354423,114.0,8.0,1,0,0,0,0,1,0,0,3.0,1.0105959848692154,0.0,-7.900447267475661e-06,-0.0
0.3368653282897385,Kyrgyz,richest,0.7647229059901559,114.0,8.0,1,0,0,0,0,0,0,1,5.0,1.6843266414486924,0.0,0.00014859778422180483,0.0
0.3368653282897385,Kyrgyz,richer,0.20897763562329436,114.0,8.0,1,0,0,0,0,0,1,0,4.0,1.347461313158954,0.0,7.034866847716458e-05,-0.0
0.3368653282897385,Kyrgyz,poorer,-0.8559377465273774,114.0,8.0,1,0,0,0,1,0,0,0,2.0,0.673730656579477,-0.0,-8.614956301211591e-05,-0.0
0.3368653282897385,Kyrgyz,poorer,-0.8559377465273774,114.0,8.0,1,0,0,0,1,0,0,0,2.0,0.673730656579477,-0.0,-8.614956301211591e-05,-0.0
0.3368653282897385,Kyrgyz,poorest,-1.0787222444458613,114.0,8.0,1,0,0,1,0,0,0,0,1.0,0.3368653282897385,-0.0,-0.00016439867875675616,-0.0
