sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Kazakh,ethnicity_Russian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1
0.3346389308857506,Kazakh,poorer,-0.7801512834176556,498.0,2.0,1,0,0,1,0,0,0,2.0,0.6692778617715012,-4.434867881723896e-05,-0.0
0.3346389308857506,Kazakh,poorer,-0.5664703713527864,498.0,2.0,1,0,0,1,0,0,0,2.0,0.6692778617715012,-4.434867881723896e-05,-0.0
0.3346389308857506,Kazakh,poorer,-0.5052856939506276,498.0,2.0,1,0,0,1,0,0,0,2.0,0.6692778617715012,-4.434867881723896e-05,-0.0
0.3346389308857506,Kazakh,middle,-0.23049931938337753,498.0,2.0,1,0,0,0,1,0,0,3.0,1.0039167926572516,-3.2839556518136717e-06,-0.0
0.3346389308857506,Kazakh,poorer,-0.9397057916893283,498.0,2.0,1,0,0,1,0,0,0,2.0,0.6692778617715012,-4.434867881723896e-05,-0.0
0.3346389308857506,Kazakh,poorer,-0.6100460343967534,498.0,2.0,1,0,0,1,0,0,0,2.0,0.6692778617715012,-4.434867881723896e-05,-0.0
0.3346389308857506,Kazakh,middle,0.0046214750546414995,498.0,2.0,1,0,0,0,1,0,0,3.0,1.0039167926572516,-3.2839556518136717e-06,-0.0
0.3346389308857506,Kazakh,middle,0.15624698976170937,498.0,2.0,1,0,0,0,1,0,0,3.0,1.0039167926572516,-3.2839556518136717e-06,-0.0
0.3346389308857506,Kazakh,middle,0.15624698976170937,498.0,2.0,1,0,0,0,1,0,0,3.0,1.0039167926572516,-3.2839556518136717e-06,-0.0
0.3346389308857506,Kazakh,poorer,-0.44240779511132344,498.0,2.0,1,0,0,1,0,0,0,2.0,0.6692778617715012,-4.434867881723896e-05,-0.0
0.3346389308857506,Kazakh,poorest,-1.2118370523848268,498.0,2.0,1,0,1,0,0,0,0,1.0,0.3346389308857506,-8.541340198266425e-05,-0.0
0.3346389308857506,Kazakh,poorer,-0.44588812016653073,498.0,2.0,1,0,0,1,0,0,0,2.0,0.6692778617715012,-4.434867881723896e-05,-0.0
0.4803096058436924,Kazakh,poorer,-0.7123405219661249,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.4803096058436924,Kazakh,poorest,-1.3454828508244774,499.0,2.0,1,0,1,0,0,0,0,1.0,0.4803096058436924,-0.00012259445525801262,-0.0
0.4803096058436924,Kazakh,poorest,-1.3454828508244774,499.0,2.0,1,0,1,0,0,0,0,1.0,0.4803096058436924,-0.00012259445525801262,-0.0
0.4803096058436924,Kazakh,poorer,-0.5195761196114203,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.4803096058436924,Kazakh,middle,-0.20410445974222258,499.0,2.0,1,0,0,0,1,0,0,3.0,1.4409288175310773,-4.713484592350982e-06,-0.0
0.4803096058436924,Kazakh,poorer,-0.4769603165027181,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.4803096058436924,Kazakh,poorest,-1.4999562328437077,499.0,2.0,1,0,1,0,0,0,0,1.0,0.4803096058436924,-0.00012259445525801262,-0.0
0.4803096058436924,Kazakh,poorer,-0.6593728580632381,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.4803096058436924,Kazakh,middle,-0.37117272930159156,499.0,2.0,1,0,0,0,1,0,0,3.0,1.4409288175310773,-4.713484592350982e-06,-0.0
0.4803096058436924,Kazakh,poorest,-1.5869345639661216,499.0,2.0,1,0,1,0,0,0,0,1.0,0.4803096058436924,-0.00012259445525801262,-0.0
0.4803096058436924,Kazakh,poorer,-0.7123405219661249,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.4803096058436924,Kazakh,middle,-0.4007986666703926,499.0,2.0,1,0,0,0,1,0,0,3.0,1.4409288175310773,-4.713484592350982e-06,-0.0
0.4803096058436924,Kazakh,middle,-0.2177357124154503,499.0,2.0,1,0,0,0,1,0,0,3.0,1.4409288175310773,-4.713484592350982e-06,-0.0
0.4803096058436924,Kazakh,middle,-0.2177357124154503,499.0,2.0,1,0,0,0,1,0,0,3.0,1.4409288175310773,-4.713484592350982e-06,-0.0
0.4803096058436924,Kazakh,poorest,-1.411751353727071,499.0,2.0,1,0,1,0,0,0,0,1.0,0.4803096058436924,-0.00012259445525801262,-0.0
0.4803096058436924,Kazakh,middle,-0.36613910272527966,499.0,2.0,1,0,0,0,1,0,0,3.0,1.4409288175310773,-4.713484592350982e-06,-0.0
0.4803096058436924,Kazakh,middle,-0.36613910272527966,499.0,2.0,1,0,0,0,1,0,0,3.0,1.4409288175310773,-4.713484592350982e-06,-0.0
0.4803096058436924,Kazakh,poorer,-1.0931428085754689,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.4803096058436924,Kazakh,poorer,-1.0931428085754689,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.4803096058436924,Kazakh,poorer,-0.9931515828588917,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.4803096058436924,Kazakh,poorer,-0.9931515828588917,499.0,2.0,1,0,0,1,0,0,0,2.0,0.9606192116873848,-6.36539699251818e-05,-0.0
0.9140391068281398,Kazakh,middle,-0.2296098058135564,500.0,2.0,1,0,0,0,1,0,0,3.0,2.7421173204844194,-8.969858596254576e-06,-0.0
0.9140391068281398,Kazakh,middle,-0.1721273309170226,500.0,2.0,1,0,0,0,1,0,0,3.0,2.7421173204844194,-8.969858596254576e-06,-0.0
0.9140391068281398,Kazakh,middle,-0.0996561065271997,500.0,2.0,1,0,0,0,1,0,0,3.0,2.7421173204844194,-8.969858596254576e-06,-0.0
0.9140391068281398,Kazakh,middle,-0.34555899831916737,500.0,2.0,1,0,0,0,1,0,0,3.0,2.7421173204844194,-8.969858596254576e-06,-0.0
